2;17;97 // haunted SWAMP on left
2;18;96
2;18;97
2;18;98
2;19;97
2;19;98
2;19;99
2;20;96
2;20;97
2;20;98
4;20;99  // random rock
2;21;95
2;21;96
2;21;97
2;22;95
2;22;96
2;22;97
2;22;98
2;22;99
2;22;100
4;23;94  // rock
2;23;95
2;23;96
2;23;97
2;23;98
2;23;99
2;23;100

2;17;103 // haunted SWAMP in top middle
2;18;102
2;18;103
2;18;104
2;19;103
2;19;104
2;19;105
2;20;102
2;20;103
2;20;104
4;20;105  // random rock
2;21;101
2;21;102
2;21;103
2;22;101
2;22;102
2;22;103
2;22;104
2;22;105
2;22;106
4;23;100  // rock
2;23;101
2;23;102
2;23;103
2;23;104
2;23;105
2;23;106

2;17;117 // haunted SWAMP on right
2;18;116
2;18;117
2;18;118
2;19;117
2;19;118
2;19;119
2;20;116
2;20;117
2;20;118
4;20;119  // random rock
2;21;115
2;21;116
2;21;117
2;22;115
2;22;116
2;22;117
2;22;118
2;22;119
2;22;120
4;23;114  // rock
2;23;115
2;23;116
2;23;117
2;23;118
2;23;119
2;23;120

2;26;106 // haunted SWAMP on bottom?
2;27;105
2;27;106
2;27;107
2;28;106
2;28;107
2;28;108
2;29;105
2;29;106
2;29;107
4;29;108  // random rock
2;30;104
2;30;105
2;30;106
2;31;104
2;31;105
2;31;106
2;31;107
2;31;108
2;31;109
4;32;103  // rock
2;32;104
2;32;105
2;32;106
2;32;107
2;32;108
2;32;109

2;24;96 // haunted SWAMP on bottom left?
2;25;95
2;25;96
2;25;97
2;26;96
2;26;97
2;26;98
2;27;95
2;27;96
2;27;97
4;27;98  // random rock
2;28;94
2;28;95
2;28;96
2;29;94
2;29;95
2;29;96
2;29;97
2;29;98
2;29;99
4;30;93  // rock
2;30;94
2;30;95
2;30;96
2;30;97
2;30;98
2;30;99
