
4;79;20
4;79;22 // turrets of main castle 
4;79;24
4;79;26
4;79;28
4;79;30
4;79;32

4;80;20
4;80;21
4;80;22 // top of castle
4;80;23
4;80;24
4;80;25
4;80;26
4;80;27
4;80;28
4;80;29
4;80;30
4;80;31
4;80;32

4;81;20 // left side of castle
4;82;20
4;83;20
4;84;20
4;84;21
4;84;22
4;84;23

4;81;32 // right side of castle
4;82;32
4;83;32
4;84;32
4;84;31
4;84;30
4;84;29

3;86;20 // beginning of water feature
3;86;21
3;86;22 
3;86;23
3;86;24
3;86;25
3;86;26
3;86;27
3;86;28
3;86;29
3;86;30
3;86;31
3;86;32

3;87;20 // continue of water feature
3;87;21
3;87;22 
3;87;23
3;87;24
3;87;25
3;87;26
3;87;27
3;87;28
3;87;29
3;87;30
3;87;31
3;87;32

3;88;20
3;88;22 // bottom of water feature
3;88;24
3;88;26
3;88;28
3;88;30
3;88;32

